country,region,state,year,specie,codsp,tlmean (cm),flmean (cm),twind (kg),gear,codgr,author
BRA,,,1950,,,,,,,,
BRA,,,1951,,,,,,,,
BRA,,,1952,,,,,,,,
BRA,,,1953,,,,,,,,
BRA,,,1954,,,,,,,,
BRA,,,1955,,,,,,,,
BRA,,,1956,,,,,,,,
BRA,,,1957,,,,,,,,
BRA,,,1958,,,,,,,,
BRA,,,1959,,,,,,,,
BRA,,,1960,,,,,,,,
BRA,,,1961,,,,,,,,
BRA,,,1962,,,,,,,,
BRA,NE,CE,1963,Scomberomorus brasiliensis,BRS,,65.05,,Trolling,TR,Costa & Paiva (1964)
BRA,NE,CE,1963,Scomberomorus cavalla,KGM,,90,,Trolling,TR,Costa & Paiva (1964)
BRA,NE,ALL,1964,Thunnus atlanticus,BLF,,65.5,,Unclear,UN,Cruz & Paiva (1964)
BRA,NE,ALL,1964,Thunnus atlanticus,BLF,,65.6,,Unclear,UN,Monte (1964)
BRA,NE,CE,1964,Scomberomorus cavalla,KGM,,85.5,,Trolling,TR,Costa & Paiva (1965)
BRA,NE,MA,1965,Scomberomorus cavalla,KGM,,80.5,,Trolling,TR,Nomura & Costa (1966)
BRA,NE,MA,1965,Scomberomorus brasiliensis,BRS,,49.5,,Trolling,TR,Nomura & Costa (1966)
BRA,NE,CE,1965,Scomberomorus cavalla,KGM,,77.5,,Trolling,TR,Menezes (1969)
BRA,NE,CE,1965,Scomberomorus brasiliensis,BRS,,65.05,,Trolling,TR,Costa & Paiva (1966)
BRA,NE,CE,1965,Scomberomorus cavalla,KGM,,87.55,,Trolling,TR,Costa & Paiva (1966)
BRA,NE,CE,1965,Scomberomorus brasiliensis,BRS,,51.8,,Trolling,TR,Nomura (1967)
BRA,NE,CE,1965,Scomberomorus brasiliensis,BRS,,35.8,,Trolling,TR,Bastos (1966)
BRA,NE,CE,1966,Scomberomorus brasiliensis,BRS,,67.5,,Trolling,TR,Costa & Paiva (1967)
BRA,NE,CE,1966,Scomberomorus cavalla,KGM,,77.2,,Trolling,TR,Alves & Tomé (1966)
BRA,NE,CE,1966,Scomberomorus cavalla,KGM,,78,,Trolling,TR,Nomura & Rodrigues (1967)
BRA,NE,CE,1966,Scomberomorus cavalla,KGM,,85.5,,Trolling,TR,Costa & Paiva (1967)
BRA,NE,CE,1967,Scomberomorus cavalla,KGM,,80,,Trolling,TR,Alves & Tomé (1967)
BRA,,,1968,,,,,,,,
BRA,SE,RJ,1969,Acanthocybium solandri,WAH,,144.7,21.8,Rod and reel,RR,Arfelli et al. (1994)
BRA,NE,CE,1969,Scomberomorus cavalla,KGM,,71.9,,Trolling,TR,Ivo (1972)
BRA,SE,RJ,1970,Acanthocybium solandri,WAH,,138.3,18.4,Rod and reel,RR,Arfelli et al. (1994)
BRA,SE,RJ,1971,Acanthocybium solandri,WAH,,136.2,17.4,Rod and reel,RR,Arfelli et al. (1994)
BRA,SE,RJ,1971,Thunnus atlanticus,BLF,75.8,70.5,6,Rod and reel,RR,Arfelli et al. (1994)
BRA,SE,RJ,1972,Acanthocybium solandri,WAH,,137.2,17.9,Rod and reel,RR,Arfelli et al. (1994)
BRA,SE,RJ,1972,Thunnus atlanticus,BLF,72.5,67.49,5.25,Rod and reel,RR,Arfelli et al. (1994)
BRA,SE,SP,1972,Thunnus atlanticus,BLF,,64.5,10,Long line,LL,Camin (1974)
