Specie,Common name,Cod_ICCAT,FL(cm),Year,Source
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,12.5,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,17.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,19.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,29.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,30.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,31.5,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,32.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,32.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,32.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,33.8,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,34.3,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,35.4,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,35.5,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,35.7,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,36.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,36.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,36.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,36.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,36.5,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,36.5,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,37.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,37.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,37.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,37.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,37.5,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,37.5,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,37.5,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,37.5,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,37.5,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,37.5,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,37.5,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,37.5,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,37.7,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,37.8,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,37.8,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,37.8,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,37.8,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,37.9,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,38.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,38.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,38.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,38.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,38.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,38.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,38.3,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,38.3,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,38.5,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,38.5,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,38.5,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,38.5,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,38.5,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,38.5,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,38.5,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,38.5,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,38.7,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,38.7,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,38.8,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,39.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,39.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,39.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,39.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,39.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,39.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,39.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,39.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,39.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,39.0,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,39.2,1998,Revizee NE
Scomberomorus brasiliensis,Serra Spanish mackerel,BRS,39.3,1998,Revizee NE
